直売所の名称,郵便番号,住所1,営業期間,営業時間,TEL,FAX,定休日,駐車場台数,トイレ,直売所の紹介
JAすずし　グリーンセンター,927-1214,珠洲市飯田町8-56-2,通年,9:00～17:30,(0768)82-2132,(0768)82-2798,"1～2月／日曜日、
1/1～3",10,○,―
朝とり市場,927-1206,"珠洲市正院町正院21部73
（JAすずし正院支店 内）","6～11月／火・金
3～5月・12月／火曜日",8:30～15:00,(0768)82-0409,(0768)82-0380,―,10,○,朝早く採った野菜を販売しているので新鮮です。販売日は火曜日、金曜日です。
交流施設　狼煙　/　道の駅　狼煙,927-1441,珠洲市狼煙町テ部11,通年,8：30～17:00（時期により変更あり）,(0768)86-2525,(0768)86-2555,年末年始,200,○,直売所、体験学習施設、豆腐販売。交流施設　狼煙はこの3つの柱を中心に、ここでしか手に入らない地の恵をお客様に提供しています。直売所では、新鮮な地の食材を中心に取り揃え、体験施設では豆腐を実際に自分で作ることが可能です。珠洲の地豆、大浜大豆を使った地豆腐の製造、販売もしております。
道の駅　すずなり,927-1213,珠洲市野々江町シ15（旧のと鉄道珠洲駅 内）,通年,"（3～11月）8:30～18:00
（12～2月）9:00～17:00",(0768)82-4688,(0768)82-6360,年中無休,47,○,観光産業の振興を図り地域の発展に寄与する目的で設立されている。したがって、地域の生産者と協働の下で農林水産物の開発や販売を行っている。併せて観光情報の発信、誘客促進や体験観光商品の開発を行っている。
飯田彩り市場,927-1214,珠洲市飯田町15-12,通年,8:00～14:00,(0768)82-3700,―,"日曜日
(朝市開催の
　　　場合は土曜日)",―,○,地域住民の暮らしやすい街づくりと賑わい創出を図り、また伝統ある二七の朝市応援を目的として運営しており、朝市出店者を主に地元産の野菜や果物、梅干しなどの加工品を販売。新鮮野菜販売と共に、地域の交流の場としての役割も。
寄り道パーキング　寺家,927-1457,珠洲市三崎町寺家154-4,4～12月／土・日・祝,9:00～17:00,(0768)88-2808,(0768)88-2808,夏休み中は毎日＊水曜定休,5,○,観光向けというよりは、地域密着型になっています。売る人も買う人も地域に住む人であり、交流の場となっています。
道の駅　すず塩田村　塩蔵市場,927-1324,珠洲市清水町1-58-1,通年,9:00～17:00,(0768)87-2040,(0768)87-2032,年中無休,39,○,道の駅すず塩田村が運営する直売所です。揚げ浜塩とその関連商品や地元農家の方がの新鮮で安い野菜や海産物加工品が人気です。
寄り道パーキング　若山の庄,927-1238,珠洲市若山町延武い部40-1,通年,10:00～15:00,(0768)82-1800,(0768)82-1802,水曜日,20,○,平成29年4月からオープンしました。生活排水を一切含まない山から流れる渓流水のみで育てた若山産のお米や、色が白く綺麗で生でも食べられる切干大根を取り扱っています。また、しいたけ（のと１１５）やリンゴ（秋星、ふじ、つがる、ジョナゴールド）などの農産物も取り扱っております。
Aコープ内浦店　産直コーナー,927-0602,鳳珠郡能登町松波11字45番地,通年,9:30～19:00,(0768)72-2060,(0768)72-1014,第3日曜日,25,○,地元の農産物はもちろんの事、県内のAコープ店舗産直会員の方のこだわりの農産物も品揃えしています。
道の駅　桜峠,928-0334,鳳珠郡能登町字当目2-24-24,通年,9:00～17:00,(0768)76-1518,(0768)76-1518,"月曜日
1,2月定休日あり",33,○,桜峠は、小さな道の駅ですが、能登の特産品を沢山ご用意しています。皆さん、ぜひお立寄りください。
なごみ農林水産物直売所,927-0301,鳳珠郡能登町字七見ツ100,通年,11:00～22:00,(0768)67-8200,(0768)67-8202,"月曜日
(祝日の場合翌日)",100,○,地元でとれた野菜がたくさんあります。施設利用のお客様は、受付け前に野菜を購入されます。中には、野菜だけのお客様・・・。新鮮！安い！と人気上昇です。是非一度お立ち寄りください。
むうぶめんとファーム,928-0324,鳳珠郡能登町字中斉レ部8-2,通年,8:00～17:00,(0768)76-1540,(0768)76-1604,"水曜日、
1～8月／午前中",6,○,農地5haを米を主とし、畑作では大根、玉ねぎ、黒豆、その他きのこではしいたけ、なめこ、まいたけ、のとしめじなどを生産しています。ともあれ山のきのこのあれこれが自慢です。
JA内浦町農産物直売所 おくのといち,927-0623,鳳珠郡能登町行廷260,通年,"8:30～18:00
（11月～3月）8：30～17：30",(0768)72-2678,(0768)72-0274,年中無休,50,○,奥能登の土ときれいな水・空気を吸って育った新鮮・安全・安心なこだわり農産物や農産物加工品、そして、「海の幸」「山の幸」を豊富に揃えた直売所です。
Ａコープ能都店　産直コーナー,927-0433,鳳珠郡能登町宇出津1-16-1（Ａコ‐プ能都 内）,通年,9:30～19:30,(0768)62-2229,(0768)62-3779,不定休,50,○,―
日本海倶楽部　御迎市,927-0605,鳳珠郡能登町立壁92,6～11月の土曜,10:00～15:00,(0768)72-8181,(0768)72-8282,―,30,○,地元立壁の農家と日本海倶楽部の丹精込めた野菜が並びます。「御迎」には神様を迎える地という意味があります。この御迎市でたくさんのお客様をお迎えし、立壁のさらなる発展に貢献できるようにという願いが込められています。
鮭尾直売所,927-0323,"鳳珠郡能登町鮭尾6-55-1
（寄り道パーキング春蘭の里内）",通年,10:00～18:30（土日祝日は15:00まで）,―,―,不定休,20,○,世界遺産、能登里山里海。春夏秋冬を道案内、農家民宿の案内をしながら外国人も含め訪れた人に能登の自然里山の恵みを熱く語ります。
能登観光情報ステーション　たびスタ,927-0433,鳳珠郡能登町字宇出津ト29-2,通年,8:30～17:00,(0768)62-8530,(0768)62-8531,年中無休,―,○,「たびスタ」は地元物産品の販売のほか、能登の観光情報も提供しています。併設の公民館、図書館とあわせて観光客のみならず、多くの町民が集まる拠点となっています。
味知の駅能登　能海山市場,928-0313,鳳珠郡能登町天坂ろ51,通年,9:00～18:00,(0768)76-1139,(0768)76-1139,1月1日～3日（予定）,10,○,能登の生産物直売所です。農産物、海産物など季節ごとの食材と土産ものなど手づくり商品を取り扱っています。
のと夢づくり,927-0324,鳳珠郡能登町柏木69番地,通年,9:00～17:00,(0768)67-2421,(0768)67-2421,水曜日,5,○,なつかしい味をまごころこめてみなさんにとどけたい…とおばーちゃん達ががんばっています！
イカの駅つくモール　物販,927-0552,鳳珠郡能登町字越坂18-18-1,通年,10:00～17:00,(0768)74-1399,(050)3457-8066,水曜日,64,○,能登町越坂・白丸・柳田のお母さん達が作った新鮮野菜が並びます。コールラビやヤーコンなどのお洒落な西洋野菜も。能登の新鮮野菜を是非味わってみてください。
JAグリーン能登おおぞら村　穴水,927-0053,鳳珠郡穴水町此木3-33-2,通年,9:00～18:00,(0768)52-3810,(0768)52-0076,年中無休（年末年始除く）,16,○,毎朝、新鮮な地元野菜が豊富に入荷し、お客様に好評です！いつもニコニコ「おおぞら村のお母さん」は野菜の知識も豊富で、調理方法も教えてくれます。是非、遊びに来てください。「おおぞら村」いいとこやぞいね～！
根木ぼら待ち市場,927-0037,"鳳珠郡穴水町根木ホ165
（根木ポケットパーク 内）",通年,9:00～17:00,(0768)52-8222,(0768)52-8222,木曜日,20,○,穏やかな穴水湾を（時には立山連峰を）眺めながらの挽きたてコ‐ヒ‐は一押しお勧めです。また、地元で採れたての野菜、海藻、きのこなど旬を揃えてお待ちしています。
能登ワインギャラリー,927-0006,鳳珠郡穴水町旭ヶ丘り5-1,通年,9:00～17:00,(0768)58-1577,(0768)58-1588,12/31～1/2,50,○,能登ワインを中心とした能登産品の直売所です。
奥能登山海市場,929-2212,七尾市中島町田岸ソ1番地8（能登里山海道別所岳サービスエリア下り）,通年,9:00～18:00（12～2月は17:00まで）,(0767)78-1021,(0767)78-1022,―,46,○,別所岳サービスエリアの中にあり、奥能登の情報を電子掲示板などでわかりやすくご案内しています。また、種類が豊富な奥能登の美味しいものを皆様の生活の場にも届けたい！！と考え生まれた、奥能登と皆様を「つなぐ市場」です。世界農業遺産「能登の里山里海」の入り口として、ぜひお立ち寄りください。
