店名,郵便番号,所在地,TEL,FAX,定休日,営業時間,定員（人）,駐車場（台）,メッセージ,ジャンル
かよう亭,922-0114,加賀市山中温泉東町1丁目ホ-20,(0761)78-1410,(0761)78-1121,2～3日,24時間,30,15,"つくった人の顔が見えるのが、地方観光地の強味であると思います。
お米、味噌、醤油、お酒、器、布製品、お菓子　かよう亭職人塾があります。",旅館・ホテル
ふらっと,927-0443,鳳珠郡能登町矢波27－26－3,(0768)62-1900,(0768)62-3000,水曜日,,20,8,"発酵食品（いしり、こんかいわし、ひねずし等）は、すべて自家製で、自家栽培の食材も多く使っています。能登のとれたての魚介類を一日三組様にお泊まりいただき、イタリアンでお楽しみいただいています。オーストラリア人シェフが作るイタリアンは、生パスタも手打ちで、能登イタリアンにこだわっています。（お食事のみは前日までに要予約、＠4,000～）",民宿・ペンション
あらや滔々庵,922-0242 ,加賀市山代温泉18-119,(0761)77-0010,(0761)77-0008,なし,,50,30,加賀の恵まれた食材の良さを活かし、地元の方にも遠来のお客様にもお喜びいただけますよう吟味しております。盛り込む器は九谷焼や山中塗を使用、コースを通して石川の素晴らしさを感じていただけたら幸いです。,旅館・ホテル
ホテルききょう,922-0242,加賀市山代温泉16-162-5,(0761)76-1130,(0761)76-2755,なし,,130,60,地元の食材を活かしたお料理を提供することを心がけています。その日穫れた新鮮内地元食材を客室にお持ちし、その場でお客様に食材をお選び頂き、調理方法に関しても、お好きな方法で調理させて頂くプランもございます。,旅館・ホテル
山里の香りただよう宿　ふらり,920-2347,白山市仏師ヶ野町乙55,(076)256-7550,(076)256-7550,不定休,"チェックイン　15：00
チェックアウト　11：00",13,6,"一日三組だけの小さなお宿です。
「大切な方と大切な時間を」
囲炉裏をかこんでゆっくりと過ごしていただけると幸いです。",民宿・ペンション
国民宿舎　能登うしつ荘,927-0565 ,鳳珠郡能登町字羽根5-4,(0768)62-2295,(0768)62-2294,不定休,食堂　11：00～14：00（L.O.13：30）、夕食　17：00～20：00（L.O.19：00),90,50,能登のものをふんだんに使い、旬の物を使ってお料理を提供しています。お食事だけでなく、お酒を地元の酒蔵より仕入れ、ALL能登を目指し、沢山の方に能登のおいしさを知ってもらえる様に頑張っています。一度遊びにいらして下さいね。,その他の宿
河内地場産業センター,920-2303 ,白山市河内町福岡124番地,(076)273-1190,(076)273-1082,水曜,売店　9：30～17：00、食堂　11：00～15：00,42,40,有機肥料を多く使用した河内産コシヒカリと河内産大豆を使用し、当センターで製造した半堅豆腐や、地元の野菜を中心にしたメニューを提供しています。また、農家が作った野菜やおみやげ、手作り豆腐や厚あげを販売しています。,うどん・そば
大江戸温泉物語　ながやま,922-0414 ,加賀市片山津町ム16,(0761)74-1141,(0761)74-1148,なし,,612,200,柴山潟と白山連峰が間近に迫る、にぎわいの温泉宿,旅館・ホテル
矢田屋松濤園,922-0412,加賀市片山津温泉セ1-1,(0761)74-1181,(0761)74-6111,なし,,150,30,"地の食材をふんだんに使った先吸、活鮮、温物、強肴、酢肴、食事と続きます。
土地の産物を活かし、その土地の技法での味造りを心掛けております。",旅館・ホテル
アニバーサリークラブ　フラワーガーデン,920-0345,金沢市藤江北4丁目210,(076)266-1500,(076)266-1595,火曜日,9：30～20：00,160,150,地元の食材はもちろん、県内各地の良いものを使い、美味しい料理を作ることをお客様にアピールして１９年以上になります。お客様の御意見をよく聞いて、丁寧な仕事を心がけております。県内産の商品（食材）等で引き出物の制作もしております。,洋食
小いきな７部屋の宿　紅柿荘,922-0242,加賀市山代温泉17－128,(0761)77-0234,(0761)77-4411,なし,チェックイン　15：00、チェックアウト　10：00,25,10,小さい７部屋の旅館でできるおもてなしは故郷へ帰ったような気楽なおもてなしに心がけ、安心して食べていただく昔からの加賀料理をお出ししています。,旅館・ホテル
料亭　山ぎし,922-0816,加賀市大聖寺東町2－24,(0761)73-1177,(0761)73-0480,月曜日、祝日,"ランチ　11：00～14：00
ディナー　17：00～21：00",150,25,当店は地元旬の食材を中心とした会席料理の他、冬期には、加賀地方に伝わる伝統猟法「坂網猟」の鴨料理を名物としています。,料亭・割烹・日本料理
ちりはまホテルゆ華,925-0054,羽咋市千里浜町タ1－26,(0767)22-6350,(0767)22-7900,なし(臨時休館あり),24時間,105,75,地産地消を心がけ、地元の美味しい食材を提供しております。観光客の方にも能登の食材のすばらしさを伝えていきたいと考えております。,旅館・ホテル
いわなの庵,920-2114,白山市三宮町ホ134,"(076)273-3288
090-9766-3288",(076)273-3288,火～金（営業日　土・日・月・祭日）,"11：00～15：00（毎年3月下旬～11月下旬）
(40～50分かかるので要予約)",40,大きい駐車場有り,"養魚場横の庵（いおり）の中に有る大きいいろりの炭火で”あたまから丸ごと食べられる”様に、じっくり焼いた川魚をどうぞ。（40～50分かけて焼くので予約するとよいです）
また、季節ごとに変わる炊き込み御飯（山菜～ぎんなん等）に小鉢。
自家製健康茶を出しています。（８種類以上ブレンド）すべて“自家製”です。",定食・和食全般
金澤旬料理　八兆屋・駅の蔵,920-0858,金沢市木ノ新保町1-1　金沢百番街あんと西3F,(076)234-1124,(076)234-1120,なし,"11：00～23：00
※現状はコロナ禍のため、22:00閉店",125,ビル屋上,金沢駅あんと西3階にある地元でも人気のお店です。加賀野菜や地魚を活かした料理や地酒も存分に楽しめます。ランチも定食や蕎麦・丼物など、気軽に利用できます。,居酒屋
おばんざい今昔　いちごいちえ,922-0412,加賀市片山津温泉丁12－1　カボチャ村ビル,(0761)74-8564,(0761)74-8563,火曜,ランチ　11：30～14：00、ディナー　18：00～21：00(L.O.),80,60,フードメニューは「地産地消」「医食同源」を掲げて常にメニュー開発に取り組んで参りました。特に農産物は地元農家さんからの直接仕入れが多く、また、魚介類も「県内産」割合を常に一定以上に維持しており、「旬」はもちろん、素材の食べさせ方を常に工夫しています。是非、「いちごいちえ」を体験して下さい。,居酒屋
民荘　太左エ門,926-0203,七尾市能登島鰀目町33－72－2,(0767)84-1166,(0767)84-1559,不定休,,30,15,能登島の定置網から直に仕入れて、お客様に新鮮な素材を提供しています。その日のとれた素材だからこそ、魚の身のはり具合が、とても絶品です。ご来店をお待ちしております。,民宿・ペンション
食処　舟重,922-0554,加賀市橋立町ロ385-1,(0761)75-1310,-,不定休（原則火曜）,11：00～15:00,15,5,野菜はJAグリーン加賀、魚は橋立港産です。,定食・和食全般
さわだ旅館,926-0211,七尾市能登島向田町に部12番1,(0767)84-1021,(0767)84-1060,,,38,20,地元でとれた新鮮なお魚をお造り、炉端焼でお召しあがり下さい。,旅館・ホテル
白山南竜山荘,921-2192,白山市鶴来本町四丁目ヌ85番地,(076)272-1116,(076)272-1847,無休（営業期間7/1～10/15）,6:00～20:00,-,-,南竜山荘は白山の中腹にあり、周辺の湿地帯は高山植物の宝庫で、登山の初心者でも気軽に訪れることができます。山荘では、登山客に対し、白山市産のゆめみずほ（無洗米）を１００％提供しております。また、地産品を使用したオリジナルの調理品を現地へ空輸し、石川県産品をお客様にPRしております。是非とも白山登山にチャレンジし、南竜山荘へのお越しをお待ちしております。,その他の宿
金城樓,920‐0911,金沢市橋場町2－23,(076)221-8188,(076)221-9146,なし,11：00～20：00,150,15,旬の食材にこだわりを持っており、県内の食材を取り入れるようにしています。地元の食材を一番おいしくおただける料理を提供する金城樓に、ぜひお越しください。,料亭・割烹・日本料理
お食事処　松の葉,926‐0044,七尾市相生町56‐1,(0767‐53‐2116,-,不定休,11：00～16：00,30,5,"旬の地元野菜や水産物を使用した昼の日替わり定食、コース料理を提供しています。
毎日丁寧な仕事をこころがけて元気に営業中です。",定食・和食全般
ＰＩＺＺＥＲＩＡ　ＤＥＪＯＹ　八ッ矢店（ピッツェリア　デジョイ）,924-0882,白山市八ツ矢町268-1 サンハイムおかりや1F,(076)276-0452,(076)276-0452,無,9:00～22:00,-,3,-,イタリアン
ビストロ　イグレック,925-0167,羽咋郡志賀町町へ1-273,(0767)32-3377,(0767)32-3377,火曜、第２月曜,ランチ11：3０～14：00（LO）、ディナー17：30～21：00（LO),25,6,能登牛、能登豚、地元の新鮮な魚介などを時期によって提供しています。奥能登ハイディワイナリーのワインのほか、フランス、イタリアの赤ワインをメインに提供します。石川県の日本酒もあります。,フレンチ
池亀,929-2121,七尾市田鶴浜町ハ部23番,(0767)68-2018,(0767)68-2018,不定,"完全予約制（3名様～）
予約時間に応じて",50,10,"旨味濃厚な能登牡蠣のために考案した「能登牡蠣白味噌鍋」
白味噌をベースに能登いしりを隠し味として作り上げた当店オリジナルの鍋料理です。",料亭・割烹・日本料理
和食レストラン凡,929-2111 ,七尾市高田町ほ-43 笑顔の里ショッピングセンターぴゅあ,(0767)68-8018,-,土、日曜日,11:00～15:00,-,-,-,定食・和食全般
魚料理・民宿　やまじゅう,929-1174,かほく市浜北ハ20-1,(076)283-3455,(076)283-3448,無休,"11:30～:2:00
17:00～21:30",180,80,創業48年、新鮮・安い・ボリューム満点をモットーに、日本海の幸を中心に提供いたしております。民宿らしく素材の味を生かし手作りにこだわっております。他県へはあまり出回らない雑居もおいしく召し上がっていただいております。,民宿・ペンション
てらおか風舎富来本店,925-0447,羽咋郡志賀町富来領家町イ-30,(0767)42-2941,(0767)42-1225,火曜、月曜の夜,"11:00～15:00
17:00～21:00",100,50,常に最高級の能登牛をご用意しています。ステーキ、ハンバーグから焼肉、しゃぶしゃぶ、すき焼きとお好みに合わせてお楽しみ下さい。,洋食
金沢　彩の庭ホテル,920-0043,金沢市長田2丁目4番8号,(076)235-5111,(076)235-5112,無休,"チックイン　14:00～
チェックアウト　～11:00",197,23,朝食には、加賀野菜など地元の食材をふんだんに用いたお料理をブッフェ形式でご提供いたします。四季折々の旬の味覚や海の幸、和洋のお料理を揃えた当ホテルならではの朝食をご堪能ください。,旅館・ホテル
?pice（エピス）,926-0175,七尾市和倉町ワ部13番地1,(0767)62-4188,(0767)62-4188,月曜日,"11：00～14：30（LO 14:00）
17：30～20：30（LO 20：00）",20,4,季節毎に移り変わる石川県の美味しい食材を地元の方にも観光でお越しの方にもたくさんの方々に楽しんでいただけるよう、お料理に取り入れております。,イタリアン
まいもん処いしり亭,926-0804,七尾市生駒町16番地4,(0767)52-8900,(0767)52-8040,不定休,"11:00～14:00
夜は要予約",24,4,"当店は、全ての料理にメギスのいしりを使用しています。
いしり初挑戦の方でも、きっとご満足いただけるメギスいしり（いしりマジック）を是非ご堪能ください。",定食・和食全般
イタリア料理 アユート！,928-0001,輪島市河井町3-158-1,(0768)23-4266,(0768)23-4266,"水曜日
第1・3木曜日",18：00～24：00（L.O.23：00）,16,-,輪島の海・山の恵みをイタリア料理で是非お楽しみください！,イタリアン
旬彩和食　口福,920-0907,金沢市青草町88  近江町いちば館2Ｆ,(076)225-8080,(076)225-8081,火曜日（祝日の場合は営業）,11：00～22：00,56,100,"金沢の台所、近江町市場で日本海の海の幸や地野菜をはじめ市場ならではの旬の地物にこだわった料理を提供しています。昼はランチ（890円～）や海鮮丼（2,300円）、夜は、一品料理やコース料理（3,500円～）と地酒も豊富！！加能がに、のどぐろなど旬魚料理が自慢。",料亭・割烹・日本料理
味楽　ゆめり,920-0853,金沢市本町1-3-33,(076)255-3999,(076)255-3999,日曜日（連休の場合は最終日）,"18：00～23：00（L.O22：30）
土曜日のみ17：30～",50,2,奥能登・宇出津より届く旬の魚をメインにお酒も地元のものをあわせて味わっていただきたく、いろいろ揃えております。どうぞお待ちしております。,居酒屋
ビストロ金沢　とどろき亭,920-0831,金沢市東山1-2-1,(076)252-5755,(076)252-5388,火曜日夜のみ,"11：30～15：30
18：00～0：00",60,5,-,フレンチ
cocomi　心味,920-0852,白山市相木町2000,(076)255-3559,(076)255-3559,日曜日、第一月曜日,"ランチ11：00～14：30
ディナー17：30～23：00",30,6,安全・安心をモットーに育てる有機・無農薬野菜や加賀野菜を使っての創作料理,居酒屋
釜炊きおにぎり　みつや,920-0964,金沢市本多町3丁目10-15,(076)205-7827,(076)205-7827,第１、第３月曜日,11：00～21：00,15,1,"羽釜で炊いた石川のこしひかりを県内の良質な食材はもとより旬の食材を一個一個手で握ったおにぎり店です。
又、金沢料理の治部をはじめ、地元の旬の食材を金沢の歳時記に合った料理（例：祭りの料理等）を提供しております。",定食・和食全般
金沢焼肉楽処　万場,920-0854,金沢市安江町19-3,(076)222-4129,(076)243-8633,月曜日,17:00～23:00,32,-,当店は、金沢駅前にある焼肉屋なので観光客に地物の良さを伝えるのにどうしようか考え大野醤油、味噌、能登しお等の調味料、能登牛、のと豚のメニューをアピールしております。焼き野菜の盛り合わせには必ず季節に応じた加賀野菜を２種はつけております。,定食・和食全般
九州ラーメン丸九堂,923-0004,小松市長崎町2丁目100番地,(0761)22-0009,(0761)22-0009,不定休　お問合せ下さい,"11:00～15:00
17:00～22:00(L.O.21:30)",30,40,今後もJA小松市との協力体制により、県の食材を使用したメニューを考案する予定です。,ラーメン
「能登牛認定点」焼肉　飛天龍　新神田店,921-8013,金沢市新神田４丁目１４番１５号,(076)291-4828,(076)291-4828,水曜日,16:00～22:30,50,15,"金沢で４０年以上続く[老舗焼肉]、美味しい[能登牛]、[能登豚]、[タン]が食べられるお店。HACCAPの厳しい品質基準をクリアし、安心、安全のお肉をリーズナブルに提供しています。
２０２０年９月にコロナ対策のため、店内改装をして、感染予防対策に取り組んでいます。",居酒屋
